ClusterID; BCTs; BasicChanges; Complexity; ProjectCount; Instances; ContainsInstances
0 ; RESERVED:CONDITION:INSERTED:global:eq:1.0 , METHOD:METHOD_CALL:INSERTED:global:indexOf:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 ; 3 ; 2 ; 1 ; 5 ; 14416, 14452, 13486=0, 15598, 20398=0
1 ; RESERVED:CONDITION:INSERTED:global:falsey:1.0 ; 1 ; 1 ; 71 ; 770 ; 55300, 114693, 137223, 36875, 118794, 131084, 59409, 71708, 112668, 133151=1, 59422, 43041=1, 106530, 49189, 16427, 98351, 120879, 98350, 112692, 43066, 114753, 104512, 116800, 131142, 102470, 61514, 63564, 122957, 92244, 122967, 120921, 59484, 125022, 118881, 14437, 110694, 28776, 14447, 41072, 61558, 53372, 86141, 8317, 61565, 69760, 61571, 139398, 41093, 14470, 114826, 20622, 14481, 131223, 133271, 112796, 96415, 100511, 112798, 65697, 120992, 112804, 55462, 24752, 131252, 102588, 116926, 127174, 37064, 129224, 131272, 55502, 71889, 100561, 131280, 73946, 127197, 4319, 65758, 125150, 14561, 67811, 127202, 37095, 119017, 127208, 112875, 65772, 22767, 53487, 96496, 100594, 114930, 139510, 16629, 65783, 96505, 71928, 139518, 65793, 10497, 49412, 96516, 49415, 131333, 55562, 88338, 67861, 12567, 55575, 127261, 59677, 63778, 37157, 125220, 135466, 74026, 4396, 80172, 28975, 80174, 84275, 26931, 129333, 133430, 12599, 24887, 63803, 76090, 86333, 123199, 71998, 123198, 86339, 112962, 80198, 125259, 123210, 59724, 76108, 119119, 55631, 76110, 67920, 14676, 69973, 76118, 133471, 57701, 108903, 29033, 20844, 59757, 35183, 76146, 133495, 20858, 20859, 123260, 20863, 119166, 72068, 74116, 84359, 121222, 131464, 45453, 131472, 65940, 31130, 45466, 35227, 61855, 129438, 16802, 104868, 37289, 127403, 78250, 90544, 133552, 55731, 72120, 94651, 125375, 129473, 86470, 88518, 115142, 90569, 92620, 74195, 63956, 131543, 72159, 55778, 80355, 55780, 74243, 64008, 43534, 88591, 23061, 125462, 43548, 70176, 127523, 10787, 55857, 41525, 14909, 80444, 12864, 129604, 12872, 109130, 90702, 76369, 82516, 16982, 78423, 53848, 127582, 96868, 80488, 109162, 111214, 131693, 2673, 103029, 113272, 84605, 31357, 51839, 84612, 129671, 17032, 31372, 129689, 60057, 78488, 133790, 60070, 127657, 101034, 121518, 125614, 113328, 113333, 80564, 123572, 55991, 115385, 60089, 703, 127683, 117447, 6857, 68306, 113362, 131793, 129751, 60120, 131802, 68315, 101083, 133862, 741, 47845, 74472, 76520, 49905, 90864, 15092, 109300, 6904, 78586, 123649, 129797, 68356, 15111, 15112, 54024, 123657, 51977, 76552, 111371, 66314, 56077, 123660, 129809, 74512, 62227, 74518, 86809, 121625, 127771, 60190, 127775, 86822, 131882, 25385, 43819, 119598, 121657, 70459, 35643, 56131, 103237, 119620, 127818, 68429, 21328, 54096, 64350, 119647, 131932, 138077, 109409, 125792, 103267, 103266, 41828, 131942, 119659, 127859, 9075, 103285, 127868, 66432, 88960, 2948, 27526, 68489, 115597, 13201, 88976, 123800, 101279, 113569, 129954, 58276, 132011, 5034, 95147, 136104, 62383, 60339, 134070, 64441, 119736, 70588, 132035, 123843, 105410, 43973, 132037, 60361, 119754, 80844, 125902, 101328, 119763, 97237, 60375, 68568, 64474, 84957, 136160, 121830, 19436, 5101, 101370, 134144, 91146, 130063, 115729, 125977, 58395, 123935, 123934, 117792, 1061, 93225, 105513, 97320, 103464, 136239, 89137, 128051, 1081, 58425, 119864, 121917, 119871, 62529, 117828, 128068, 23622, 93259, 72778, 93261, 105560, 89191, 87145, 15467, 126061, 35950, 89199, 25713, 48249, 60538, 132216, 46203, 83066, 50306, 15495, 103563, 130187, 103564, 95375, 136333, 1169, 117911, 70806, 23711, 74913, 115875, 7334, 103594, 81082, 62654, 15556, 136388, 103628, 130257, 15569, 103635, 50387, 68818, 29908, 136407, 95453, 122079, 130277, 64741, 105702, 132334, 1262, 91375, 120048, 5364, 50420, 132341, 56568, 31993, 9466, 130301, 101631, 132358, 60679, 58634, 60682, 62730, 23819, 136457, 81164, 62743, 21795, 58660, 25896, 13611, 75052, 79152, 128306, 21813, 1334, 75063, 93495, 75067, 5438, 81215, 101695, 101694, 64837, 126280, 126289, 60755, 32089, 42330, 7516, 58717, 103774, 13669, 48487, 124262, 132459, 48490, 118124, 126316, 130419, 64886, 50552, 50554, 68988, 101759, 60801, 138627, 114051, 132480, 101765, 124293, 32133, 87428, 36235, 60811, 66959, 132498, 60817, 9618, 71058, 66968, 5534, 97695, 17826, 107942, 126377, 128429, 5550, 32175, 103854, 130481, 44465, 124338, 5558, 54718, 7618, 56771, 26053, 13768, 24010, 114123, 130507, 116170, 128463, 128462, 13779, 130516, 13783, 122329, 67032, 75239, 50665, 87533, 9709, 15854, 34292, 34293, 34300, 83453, 110076, 42503, 15892, 15894, 93719, 24091, 108058, 71198, 93729, 128544, 38435, 56867, 99887, 9777, 77365, 15933, 58941, 67132, 77372, 87617, 36418, 36420, 58949, 65106, 26197, 58966, 36439, 24154, 95835, 106074, 122461, 112223, 67170, 110178, 79461, 120420, 13928, 130669, 87660, 34414, 5745, 44661, 104052, 91767, 126582, 126585, 126591, 93824, 95874, 38532, 38540, 9870, 67214, 34448, 95890, 108183, 5787, 65180, 56991, 83621, 34469, 40613, 110247, 63149, 52911, 132786, 75447, 118454, 79548, 120508, 73406, 52930, 65222, 97991, 124617, 16080, 36561, 83667, 98004, 14038, 36567, 98006, 11993, 30429, 73439, 104159, 98017, 130786, 28392, 130793, 138990, 98028, 124652, 138991, 22261, 79604, 130804, 104185, 83706, 59132, 136959, 124670, 65282, 87811, 26373, 132869, 128777, 7953, 102162, 26388, 128789, 112409, 30489, 102171, 75546, 71455, 128798, 10020, 75558, 83753, 87851, 98095, 116531, 124729, 67387, 87866, 112445, 96060, 59198, 65343, 120641, 38721, 73541, 130885, 71492, 87883, 51020, 67408, 79698, 73556, 91988, 67415, 124759, 96092, 55134, 26465, 122728, 126829, 135022, 120687, 36723, 61302, 112502, 51065, 112507, 106362, 120707, 120708, 10120, 130952, 6028, 130961, 61329, 128912, 130963, 75669, 73624, 87963, 112544, 122786, 118696, 128938, 98224, 104371, 110515, 18359, 34745, 94138, 26562, 30658, 122819, 73666, 100297, 126921, 131016, 67530, 128970, 73681, 126931, 30680, 122841, 55257, 128987, 116698, 128986, 30684, 110561, 129000, 137193, 73708, 106478, 131058, 129013, 18421, 129012, 63479, 83958, 6137, 106491, 28667, 38909
2 ; RESERVED:CONDITION:INSERTED:global:sheq:1.0 ; 1 ; 1 ; 44 ; 131 ; 127233, 66818, 71682, 128258, 92933, 13061, 9737=2, 124683, 130060, 7694=2, 134924, 5392, 27920, 53265, 130835, 60179, 122898, 137238, 71444, 91670, 137240, 120863, 124704, 12327, 16423, 25383, 54824, 116266, 14380, 103469, 78383, 111151, 125488, 36659, 25654, 111929, 15420, 61501, 122431, 60223, 67392, 16198, 17734, 88903, 128838, 122697, 53324, 123985, 128851, 138071, 105563, 43611, 10332, 120669, 68956, 121953, 82275, 18788, 61287, 103782, 111213, 55917, 79471, 29552, 118896, 56178, 16500, 73338, 129406, 16768, 120448, 14722, 84875, 43919, 121745, 50834, 68755, 20628, 107671, 7577, 16281, 98203, 6300, 126364, 8350, 52645, 101801, 106153, 60842, 122795, 90538, 14773, 106685, 103868, 58047, 20673, 94658, 78533, 88007, 36296, 122826, 5328, 78288, 43474, 139222, 53717, 67798, 16345, 125400, 125147, 130523, 78298, 5597, 103139, 7395, 10211, 128994, 62437, 14566, 12775, 109034, 5356, 33516, 105199, 115443, 63220, 84212, 9720, 130040, 27898, 119038
3 ; RESERVED:CONDITION:INSERTED:global:falsey:3.0 ; 1 ; 3 ; 19 ; 32 ; 136387, 83973, 118660, 118407, 67785=3, 136586, 55370, 74186, 36303, 103502, 5521=3, 9235, 125653, 79316, 91156, 57369, 67736, 95514, 137443, 73699, 96994, 4324, 69477, 108517, 99300, 10791, 80495, 90610, 69748, 69752, 88763, 17211
4 ; RESERVED:STATEMENT:INSERTED:global:var:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:2.0 ; 2 ; 3 ; 17 ; 29 ; 59200, 122369, 63940=4, 68295, 91846, 98641=4, 115603, 1046, 103511, 11353, 70938, 127136, 72547, 104610, 77733, 123183, 97326, 42352, 62001, 97264, 119347, 62263, 23096, 100473, 123901, 22909, 112764, 43646, 130878
5 ; RESERVED:CONDITION:INSERTED:global:sheq:2.0 , RESERVED:CONDITION:INSERTED:global:typeof:2.0 ; 2 ; 2 ; 9 ; 9 ; 53152, 103522, 20228, 13591, 5560, 62905, 120380, 28927, 36543
6 ; RESERVED:STATEMENT:UPDATED:global:var:1.0 , METHOD:METHOD_CALL:INSERTED:global:replace:1.0 ; 2 ; 1 ; 18 ; 33 ; 79937, 80578, 114373, 137479, 26249, 23437, 71436, 47502, 49489, 8722, 19091, 135254, 5398, 127767, 24535, 36057, 119256, 52827, 1181, 31843, 96806, 103526, 43113, 42538, 101738, 126954, 16300, 80625, 52212, 68789, 81525, 78205, 65279
7 ; RESERVED:CONDITION:INSERTED:global:sheq:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 ; 2 ; 1 ; 36 ; 80 ; 70273, 118144, 119938, 119941, 65029, 17670, 23814, 27401, 40589, 74511, 115092, 61336, 122393, 50331, 36510, 115359, 17823, 33055, 130337, 40481, 20770, 33187, 64804, 98599, 78249, 70312, 60843, 120874, 31404, 36524, 13613, 66735, 2611, 103609, 87224, 38843, 34748, 50878, 72638, 27968, 40258, 49346, 111682, 97093, 125252, 16199, 28487, 78412, 78801, 35665, 50769, 53076, 63065, 14426, 130779, 83295, 31328, 65250, 109026, 110055, 55143, 125414, 124137, 45674, 130283, 41195, 97002, 42222, 97774, 62576, 106483, 21239, 117366, 36472, 121339, 126075, 65661, 67069, 125692, 130814
8 ; RESERVED:STATEMENT:INSERTED:global:return:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 ; 2 ; 2 ; 38 ; 111 ; 59656, 113417, 13834, 95242, 130058, 119827, 119828, 129815, 115734, 86810, 69663, 86815, 58912, 100131, 8227, 38695, 66342, 112427, 97324, 97070, 122670, 58928, 80437, 71992, 72762, 139580, 117058, 70729, 70216, 112712, 75083, 68431, 79950, 53840, 81497, 3676, 73309, 55646, 63326, 132450, 96355, 130403, 66661, 35943, 104038, 81001, 28522, 75885, 41584, 129137, 132721, 39542, 32376, 2937, 119416, 136312, 86143, 44672, 4737, 15748, 114569, 18316, 67983, 56720, 65424, 99984, 132497, 126109, 66716, 83105, 52130, 103587, 117411, 126370, 15785, 123309, 105136, 15538, 78515, 117938, 119733, 110265, 59833, 96957, 33984, 75968, 80067, 67527, 86729, 96458, 22734, 125395, 18388, 74709, 63959, 74714, 1504, 42464, 108256, 6117, 25833, 129516, 10478, 139501, 51953, 34548, 99573, 108789, 118525, 127740, 61439
9 ; RESERVED:ARGUMENT:REMOVED:global:true:1.0 ; 1 ; 1 ; 12 ; 15 ; 94081, 103713, 98375, 102310, 29736, 111401, 78344, 129201, 51922, 131504, 12660, 71380, 125524, 56091, 10557
10 ; RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:CONDITION:REMOVED:global:falsey:1.0 ; 2 ; 2 ; 29 ; 92 ; 60032, 86656, 124672, 68483, 88325, 35205, 13961, 14090, 99466, 112650, 87692, 127116, 121742, 98961, 59537, 127635, 21523, 21524, 34964, 73364, 56600, 16793, 74523, 26651, 131870, 110236, 122780, 66591, 49055, 45089, 139174, 55974, 129831, 7723, 130220, 52399, 106805, 129972, 108726, 49720, 49849, 130744, 135993, 63932, 12479, 125118, 121665, 125890, 128711, 72518, 63561, 77768, 134985, 36176, 89296, 17746, 136656, 84693, 122196, 103767, 90585, 13017, 111576, 129756, 13790, 87903, 112864, 136161, 80357, 77924, 109286, 60904, 14825, 41065, 129131, 137581, 119152, 128755, 131830, 123508, 79734, 126198, 38520, 68217, 123641, 63865, 89208, 34299, 129786, 130938, 98300, 58367
11 ; RESERVED:ASSIGNMENT_RHS:REMOVED:global:true:1.0 ; 1 ; 1 ; 30 ; 60 ; 130049, 12419, 72581, 134279, 127627, 100364, 60432, 83217, 33169, 60050, 113554, 67095, 116887, 60954, 43804, 84510, 107550, 130336, 125475, 49827, 54308, 91428, 91433, 96168, 96808, 125994, 96559, 17583, 80947, 57011, 9398, 9145, 15801, 24761, 108989, 130876, 65727, 33343, 111427, 10442, 42444, 133453, 138445, 128592, 106962, 84694, 95704, 46685, 74079, 95199, 103777, 124513, 4451, 56939, 54387, 133621, 57080, 130043, 126460, 4862
12 ; RESERVED:CONDITION:INSERTED:global:falsey:2.0 ; 1 ; 2 ; 48 ; 191 ; 98305, 62977, 52482, 73481, 104203, 106507, 42764, 99341, 121612, 114959, 59663, 57872, 131603, 73749, 66324, 97302, 23321, 59162, 69914, 26396, 133148, 84766, 67104, 34850, 98083, 135719, 86823, 110374, 50728, 62504, 50217, 60713, 72232, 42283, 15148, 106540, 46894, 59695, 66864, 36658, 77875, 48948, 12342, 124470, 131386, 118840, 80704, 131392, 62532, 110405, 125769, 55881, 45389, 98124, 131407, 80206, 97617, 112465, 116304, 61014, 85079, 106838, 19032, 87641, 60506, 67418, 100700, 7774, 58721, 67683, 128612, 11879, 128614, 12648, 9833, 21099, 130666, 56940, 61292, 128109, 31341, 96108, 106351, 127345, 135280, 30581, 43896, 45432, 27517, 5758, 61055, 69502, 139645, 99456, 115587, 65411, 115333, 18821, 121988, 4998, 51079, 70537, 110473, 118665, 108939, 81292, 125839, 126095, 131213, 86160, 112533, 111508, 122004, 130196, 59291, 139161, 58780, 103329, 126368, 28323, 47268, 124836, 139175, 13482, 51882, 22444, 138670, 67244, 73388, 110511, 69552, 124336, 128944, 39602, 68787, 103861, 64696, 73405, 14015, 128704, 116418, 25285, 15302, 65478, 48072, 26314, 123597, 9677, 116172, 139468, 76753, 84432, 3795, 13012, 63700, 123860, 127959, 6106, 23002, 57818, 77789, 18910, 61406, 94431, 106207, 108766, 97763, 104419, 108771, 72933, 46053, 130276, 130279, 77542, 55528, 130540, 52974, 12271, 91633, 134643, 7922, 97778, 102900, 134644, 47607, 71158, 134645, 95737, 17659, 73210, 26109
13 ; RESERVED:STATEMENT:REMOVED:global:return:1.0 , RESERVED:CONDITION:REMOVED:global:falsey:1.0 ; 2 ; 2 ; 12 ; 18 ; 55938, 103909, 28390, 129511, 134442, 79464, 139371, 95245, 108780, 45072, 117456, 95762, 101717, 60887, 103449, 105084, 117150, 121182
14 ; RESERVED:CONDITION:INSERTED:global:sheq:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 ; 3 ; 3 ; 13 ; 15 ; 36160, 69313, 123936, 96261, 28232, 28398, 110286, 78293, 139223, 103991, 53144, 47289, 76888, 27611, 73724
15 ; RESERVED:CONDITION:INSERTED:global:sheq:2.0 ; 1 ; 3 ; 15 ; 23 ; 74721, 125921, 61189, 104071, 123143, 99046, 119078, 94152, 35722, 22989, 21198, 33326, 59408, 122738, 71253, 18837, 82100, 97878, 35448, 97368, 41786, 19901, 20927
16 ; RESERVED:ARGUMENT:INSERTED:global:null:1.0 ; 1 ; 1 ; 17 ; 27 ; 88899, 114499, 6213, 125901, 104140, 72271, 76752, 126416, 15896, 124761, 119000, 88731, 12635, 47199, 98718, 7589, 47206, 75562, 67248, 124277, 137466, 18297, 29626, 74557, 75581, 74175, 73470
17 ; RESERVED:METHOD_CALL:INSERTED:global:error:1.0 ; 1 ; 1 ; 9 ; 23 ; 91649, 115617, 125570, 90725, 20357, 73735, 100967, 45927, 126278, 6059, 74794, 128138, 90543, 40912, 67093, 126324, 101879, 73721, 86427, 40893, 76127, 95902, 104254
18 ; RESERVED:ASSIGNMENT_RHS:INSERTED:global:this:1.0 ; 1 ; 1 ; 11 ; 17 ; 122528, 80323, 56006, 58857, 104298, 58382, 124112, 79955, 67285, 12949, 67284, 80310, 1688, 30840, 72154, 62300, 24030
19 ; RESERVED:ASSIGNMENT_LHS:INSERTED:global:this:1.0 ; 1 ; 2 ; 28 ; 61 ; 123393, 23684, 109194, 2700, 41871, 48404, 51222, 38936, 59679, 104606, 87979, 13099, 64686, 87982, 69938, 86965, 54969, 55229, 82108, 38974, 28993, 50625, 40898, 93383, 37319, 54471, 102217, 112073, 128713, 115784, 130504, 13261, 119123, 53204, 83157, 49110, 112727, 112728, 133339, 81883, 67802, 54237, 114655, 63200, 133219, 93540, 133351, 10858, 88044, 51825, 109168, 65395, 104309, 39798, 7031, 122358, 70392, 59898, 34302, 34942, 39806
20 ; RESERVED:METHOD_CALL:INSERTED:global:callback:1.0 , RESERVED:STATEMENT:INSERTED:global:return:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 ; 3 ; 2 ; 4 ; 13 ; 117281, 104320, 97257, 13449, 125835, 75759, 123861, 127157, 123607, 120125, 125119, 128031, 100734
21 ; RESERVED:STATEMENT:INSERTED:global:new:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 ; 2 ; 2 ; 7 ; 12 ; 44176, 127169, 95152, 76498, 83540, 104388, 126868, 106807, 94347, 81053, 28381, 107999
22 ; RESERVED:ARGUMENT:INSERTED:global:error:1.0 , RESERVED:METHOD_CALL:INSERTED:global:callback:1.0 , RESERVED:STATEMENT:INSERTED:global:return:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:CONDITION:INSERTED:global:error:1.0 ; 5 ; 2 ; 4 ; 5 ; 116291, 121170, 104392, 95725, 121375
23 ; RESERVED:STATEMENT:INSERTED:global:return:1.0 , RESERVED:CONDITION:INSERTED:global:null:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 ; 3 ; 2 ; 6 ; 10 ; 108736, 41876, 104404, 76648, 125547, 124314, 139081, 75565, 98941, 136653
24 ; RESERVED:CONDITION:INSERTED:global:falsey:1.0 , METHOD:METHOD_CALL:INSERTED:global:hasOwnProperty:1.0 ; 2 ; 1 ; 8 ; 11 ; 61104, 69857, 5393, 118613, 108663, 97286, 32986, 66587, 101291, 104410, 122303
